==== This output can be found in Systems/dx986/os/lscfg.txt ====
==== START lscfg Tue Jul  7 00:45:13 GST 2015 ====
INSTALLED RESOURCE LIST

The following resources are installed on the machine.
+/- = Added or deleted from Resource List.
*   = Diagnostic support not available.
	
  Model Architecture: chrp
  Model Implementation: Multiple Processor, PCI bus
	
+ sys0                                                                              System Object
+ sysplanar0                                                                        System Planar
* vio0                                                                              Virtual I/O Bus
* hdisk787         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35E4-L31000000000000  EMC Symmetrix FCP VRAID
* hdisk788         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35E4-L32000000000000  EMC Symmetrix FCP VRAID
* hdisk789         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35E4-L33000000000000  EMC Symmetrix FCP VRAID
* hdisk790         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35E4-L34000000000000  EMC Symmetrix FCP VRAID
* hdisk791         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35DC-L24000000000000  EMC Symmetrix FCP VRAID
* hdisk792         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35DC-L25000000000000  EMC Symmetrix FCP VRAID
* hdisk793         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35DC-L26000000000000  EMC Symmetrix FCP VRAID
* hdisk794         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35DC-L27000000000000  EMC Symmetrix FCP VRAID
* hdisk795         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35DC-L28000000000000  EMC Symmetrix FCP VRAID
* hdisk796         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35DC-L29000000000000  EMC Symmetrix FCP VRAID
* hdisk797         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35DC-L30000000000000  EMC Symmetrix FCP VRAID
* hdisk798         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35DC-L31000000000000  EMC Symmetrix FCP VRAID
* hdisk799         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35DC-L32000000000000  EMC Symmetrix FCP VRAID
* hdisk800         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35DC-L33000000000000  EMC Symmetrix FCP VRAID
* hdisk801         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35DC-L34000000000000  EMC Symmetrix FCP VRAID
* sfwcomm0         U9179.MHD.212EECV-V33-C301-T1-W0-L0                              Fibre Channel Storage Framework Comm
+ fcs1             U9179.MHD.212EECV-V33-C302-T1                                    Virtual Fibre Channel Client Adapter
+ fscsi1           U9179.MHD.212EECV-V33-C302-T1                                    FC SCSI I/O Controller Protocol Device
