==== This output can be found in Systems/dx986/os/iostat-^A.txt ====
==== START iostat -A Tue Jul  7 00:45:13 GST 2015 ====

System configuration: lcpu=32 drives=710 ent=3.60 paths=0 vdisks=10 maxserver=960

aio: avgc avfc maxgc maxfc maxreqs avg-cpu: % user % sys % idle % iowait physc % entc
     16.4  0.0   177     0    131072            11.9   4.7   80.2      3.2   0.9   25.3

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk596         0.0       0.0       0.0          4     18116
hdisk598         0.0       0.0       0.0          4         0
hdisk597         0.0       0.0       0.0          4         0
hdisk477         0.0       0.0       0.0        196         0
hdisk599         0.0       0.0       0.0          4         0
hdisk591         0.0       0.0       0.0          4         0
hdisk593         0.0       0.0       0.0          4         0
hdisk870         0.0       0.0       0.0          8         0
hdisk595         0.0       0.0       0.0          4         0
hdisk871         0.1      56.5       0.1   412001775   4607580
hdisk874         0.1      55.8       0.1   407007997   4520824
hdisk873         0.1      55.9       0.1   407457868   4567904
hdisk916         0.0       0.0       0.0          8         0
hdisk592         0.0       0.0       0.0          4         0
hdisk4           0.0       0.0       0.0          0         0

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk875         0.1      57.7       0.1   420364749   4676512
hdisk876         0.1      58.2       0.1   424420447   4811348
hdisk877         0.1      58.3       0.1   425105032   4620468
hdisk872         0.1      56.8       0.1   414262085   4564124
hdisk878         0.1      56.9       0.1   415042628   4731828
hdisk880         0.1      57.7       0.1   420127438   4865876
hdisk879         0.1      56.8       0.1   414330993   4641448
hdisk881         0.1      56.3       0.1   410382429   4631220
hdisk882         0.1      57.6       0.1   419736363   4761464
hdisk883         0.1      57.3       0.1   417285506   4731488
hdisk884         0.1      58.3       0.1   425184769   4641496
hdisk886         0.1      56.9       0.1   414995088   4626848
hdisk887         0.1      59.8       0.1   436402336   4483260
hdisk888         0.1      58.3       0.1   424784582   4622240
hdisk890         2.0     114.4       7.8   498721059  344685644
hdisk885         0.1      58.1       0.1   424056991   4557360
hdisk889         2.0     115.1       7.8   500596303  347726652
hdisk895         2.0     115.6       7.9   498115576  354248116
hdisk892         2.0     116.3       7.9   496242035  361218168
hdisk896         2.0     116.3       7.9   501094331  356449724
hdisk893         2.0     114.8       7.8   492739599  353191004
hdisk891         2.0     114.9       7.8   494478818  352643236
hdisk898         0.1      44.0       0.1   243436736  80554988
hdisk900         0.1      43.3       0.1   238148114  80757616

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk894         2.0     115.0       7.8   494391084  353645928
hdisk906         0.6     197.1       1.8   725290995  727374176
hdisk897         0.1      44.0       0.1   243886822  80425708
hdisk904         0.1      44.1       0.1   245381595  79970456
hdisk899         0.1      43.9       0.1   243046547  80446924
hdisk903         0.1      44.1       0.1   244884009  80110568
hdisk905         0.6     196.9       1.8   724794542  726897424
hdisk901         0.1      43.3       0.1   239505534  79748096
hdisk908         0.0      22.3       0.1   106573804  57689892
hdisk909         0.0       0.0       0.0      11925      9000
hdisk902         0.1      43.8       0.1   242336075  80263488
hdisk911         0.0       2.6       0.0   19227348    256104
hdisk910         0.0       0.0       0.0         23      7336
hdisk914         0.1      64.7       0.3   159901599  317307737
hdisk907         0.0      22.2       0.1   106235015  57551660
hdisk912         0.0       5.8       0.2   35324921   7720680
hdisk913         0.0       2.0       0.0   14247930    253084
hdisk921         0.1      54.5       0.1   397335252   4434408
hdisk920         0.1      52.6       0.1   383639868   4223696
hdisk915         0.1      64.7       0.3   158973000  318265697
hdisk918         0.1      53.6       0.1   391106935   4287876
hdisk919         0.1      52.7       0.1   384240009   4255968
hdisk917         0.1      53.4       0.1   389150912   4330760
hdisk924         0.1      53.6       0.1   390974916   4449156

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk928         0.1      54.3       0.1   395460798   4444168
hdisk922         0.1      54.9       0.1   399943492   4528856
hdisk927         0.1      53.2       0.1   387842212   4326788
hdisk929         0.1      53.9       0.1   392698308   4437272
hdisk925         0.1      53.5       0.1   389738766   4404036
hdisk923         0.1      55.0       0.1   400801449   4273188
hdisk926         0.1      54.2       0.1   395307913   4501696
hdisk930         0.1      54.9       0.1   400664490   4330864
hdisk934         0.1      55.0       0.1   401286820   4316024
hdisk938         2.0     108.6       7.4   463649168  336603724
hdisk933         0.1      56.3       0.1   410600102   4205460
hdisk935         2.0     107.3       7.2   467583742  323299976
hdisk932         0.1      53.5       0.1   390324464   4321304
hdisk936         2.0     106.7       7.2   466003825  320266436
hdisk940         2.0     107.2       7.2   460982759  329203948
hdisk943         0.1      42.5       0.1   237700549  75895244
hdisk939         2.0     107.2       7.2   461561271  328802432
hdisk937         2.0     107.2       7.2   462142371  328136620
hdisk942         2.0     108.5       7.4   468050322  331484304
hdisk946         0.1      41.8       0.1   231711840  76454320
hdisk941         2.0     107.7       7.3   464479612  329703376
hdisk947         0.1      42.0       0.1   233068979  76347380
hdisk945         0.1      42.5       0.1   236902628  76430128
hdisk931         0.1      54.7       0.1   399290835   4235664

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk949         0.1      42.8       0.1   238821764  76641292
hdisk951         0.6     187.5       1.7   692986084  689141984
hdisk953         0.0      21.0       0.1   101272337  53776232
