==== This output can be found in Systems/dx978/os/lscfg.txt ====
==== START lscfg Mon Jul  6 23:30:06 GST 2015 ====
INSTALLED RESOURCE LIST

The following resources are installed on the machine.
+/- = Added or deleted from Resource List.
*   = Diagnostic support not available.
	
  Model Architecture: chrp
  Model Implementation: Multiple Processor, PCI bus
	
+ sys0                                                                              System Object
+ sysplanar0                                                                        System Planar
* vio0                                                                              Virtual I/O Bus
* hdisk162         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L42000000000000  EMC Symmetrix FCP VRAID
* hdisk163         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L43000000000000  EMC Symmetrix FCP VRAID
* hdisk164         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L44000000000000  EMC Symmetrix FCP VRAID
* hdisk165         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L45000000000000  EMC Symmetrix FCP VRAID
* hdisk166         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L46000000000000  EMC Symmetrix FCP VRAID
* hdisk167         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L47000000000000  EMC Symmetrix FCP VRAID
* hdisk168         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L48000000000000  EMC Symmetrix FCP VRAID
* hdisk169         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L49000000000000  EMC Symmetrix FCP VRAID
* hdisk170         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L4E000000000000  EMC Symmetrix FCP VRAID
* hdisk171         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L4F000000000000  EMC Symmetrix FCP VRAID
* hdisk172         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L50000000000000  EMC Symmetrix FCP VRAID
* hdisk173         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L51000000000000  EMC Symmetrix FCP VRAID
* hdisk174         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L52000000000000  EMC Symmetrix FCP VRAID
* hdisk175         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L53000000000000  EMC Symmetrix FCP VRAID
* hdisk176         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L54000000000000  EMC Symmetrix FCP VRAID
* hdisk177         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L55000000000000  EMC Symmetrix FCP VRAID
* hdisk178         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L56000000000000  EMC Symmetrix FCP VRAID
* hdisk179         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L57000000000000  EMC Symmetrix FCP VRAID
* hdisk180         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L58000000000000  EMC Symmetrix FCP VRAID
